ICMP,Test_Date,Incubation_time,BioRep,TechRep,Bacteria,Additives,AUC Difference
14000,20210114,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.167722073
14000,20210118,Day 3,2,1,A. baumannii,100ng/mL LPS,0.082504426
146,20201112,Day 3,1,1,A. baumannii,100ng/mL LPS,0.07689564
146,20201119,Day 3,2,1,A. baumannii,100ng/mL LPS,-0.027299342
146,20201207,Day 3,3,1,A. baumannii,100ng/mL LPS,-0.048934082
15555,20210114,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.378916771
15555,20210118,Day 3,2,1,A. baumannii,100ng/mL LPS,-0.549671922
16322,20210125,Day 3,1,1,A. baumannii,100ng/mL LPS,0.044836932
16893,20210210,Day 3,1,1,A. baumannii,100ng/mL LPS,0.211507916
17529,20210311,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.098299425
18083,20210310,Day 3,1,1,A. baumannii,100ng/mL LPS,0.071746637
18208,20210114,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.059929625
18208,20210118,Day 3,2,1,A. baumannii,100ng/mL LPS,-0.004770331
18209,20210310,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.083772326
18216,20210210,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.104154334
19129,20201112,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.013910977
19129,20201119,Day 3,2,1,A. baumannii,100ng/mL LPS,-0.229768653
19129,20201207,Day 3,3,1,A. baumannii,100ng/mL LPS,0.130902775
19872,20210210,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.093507577
21054,20210114,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.090695913
21054,20210118,Day 3,2,1,A. baumannii,100ng/mL LPS,-0.02298264
21487,20210210,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.183130222
21494,20210310,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.020356311
21497,20210311,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.094666069
21498,20210311,Day 3,1,1,A. baumannii,100ng/mL LPS,0.342955885
21592,20210125,Day 3,1,1,A. baumannii,100ng/mL LPS,0.197304633
22689,20210310,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.036250456
2708,20210311,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.455126961
5181,20201112,Day 3,1,1,A. baumannii,100ng/mL LPS,0.031944764
5181,20201119,Day 3,2,1,A. baumannii,100ng/mL LPS,0.110027535
5181,20201207,Day 3,3,1,A. baumannii,100ng/mL LPS,0.015004827
5422,20210125,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.054178977
5444,20210210,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.038851706
5686,20210311,Day 3,1,1,A. baumannii,100ng/mL LPS,0.076746644
9534,20210125,Day 3,1,1,A. baumannii,100ng/mL LPS,-0.005923081
10230,20210125,Day 3,1,2,A. baumannii,100ng/mL LPS,-1.001646096
11458,20210114,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.024658719
11458,20210118,Day 3,2,2,A. baumannii,100ng/mL LPS,0.221911504
13875,20201112,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.243475087
13875,20201119,Day 3,2,2,A. baumannii,100ng/mL LPS,0.36839214
13875,20201207,Day 3,3,2,A. baumannii,100ng/mL LPS,-0.098084923
13877,20210310,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.097633235
13903,20201112,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.144943865
13903,20201119,Day 3,2,2,A. baumannii,100ng/mL LPS,0.356454011
13903,20201207,Day 3,3,2,A. baumannii,100ng/mL LPS,-0.036656188
14000,20210114,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.06918228
14000,20210118,Day 3,2,2,A. baumannii,100ng/mL LPS,0.223515909
146,20201112,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.025865381
146,20201119,Day 3,2,2,A. baumannii,100ng/mL LPS,0.02246206
146,20201207,Day 3,3,2,A. baumannii,100ng/mL LPS,-0.118815988
15555,20210114,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.252338072
15555,20210118,Day 3,2,2,A. baumannii,100ng/mL LPS,0.113943352
16322,20210125,Day 3,1,2,A. baumannii,100ng/mL LPS,0.082669574
16893,20210210,Day 3,1,2,A. baumannii,100ng/mL LPS,0.0540291
17529,20210311,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.080421277
18083,20210310,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.03798026
18208,20210114,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.019576744
18208,20210118,Day 3,2,2,A. baumannii,100ng/mL LPS,0.078090676
18209,20210310,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.062612145
18216,20210210,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.296880145
19129,20201112,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.027204329
19129,20201119,Day 3,2,2,A. baumannii,100ng/mL LPS,-0.176578857
19129,20201207,Day 3,3,2,A. baumannii,100ng/mL LPS,-0.483228962
19872,20210210,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.188021128
21054,20210114,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.034566286
21054,20210118,Day 3,2,2,A. baumannii,100ng/mL LPS,0.075490563
21487,20210210,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.137974475
21494,20210310,Day 3,1,2,A. baumannii,100ng/mL LPS,0.110910367
21497,20210311,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.14923385
21498,20210311,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.388667529
21592,20210125,Day 3,1,2,A. baumannii,100ng/mL LPS,0.359281611
22689,20210310,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.060280679
2708,20210311,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.357511352
5181,20201112,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.001268989
5181,20201119,Day 3,2,2,A. baumannii,100ng/mL LPS,0.161975168
5181,20201207,Day 3,3,2,A. baumannii,100ng/mL LPS,0.110755379
5422,20210125,Day 3,1,2,A. baumannii,100ng/mL LPS,0.025612084
5444,20210210,Day 3,1,2,A. baumannii,100ng/mL LPS,0.01216694
5686,20210311,Day 3,1,2,A. baumannii,100ng/mL LPS,0.048736955
9534,20210125,Day 3,1,2,A. baumannii,100ng/mL LPS,-0.114345663
10230,20210125,Day 3,1,3,A. baumannii,100ng/mL LPS,-0.018556543
11458,20210114,Day 3,1,3,A. baumannii,100ng/mL LPS,-0.610258299
11458,20210118,Day 3,2,3,A. baumannii,100ng/mL LPS,-0.150492841
13875,20201112,Day 3,1,3,A. baumannii,100ng/mL LPS,0.004174603
13875,20201119,Day 3,2,3,A. baumannii,100ng/mL LPS,0.26423952
13875,20201207,Day 3,3,3,A. baumannii,100ng/mL LPS,-0.050540478
13877,20210310,Day 3,1,3,A. baumannii,100ng/mL LPS,-0.056129873
13903,20201112,Day 3,1,3,A. baumannii,100ng/mL LPS,-0.066071004
13903,20201119,Day 3,2,3,A. baumannii,100ng/mL LPS,0.068953721
13903,20201207,Day 3,3,3,A. baumannii,100ng/mL LPS,0.00528211
14000,20210114,Day 3,1,3,A. baumannii,100ng/mL LPS,-0.207024541
14000,20210118,Day 3,2,3,A. baumannii,100ng/mL LPS,0.066956929
146,20201112,Day 3,1,3,A. baumannii,100ng/mL LPS,-0.085602829
146,20201119,Day 3,2,3,A. baumannii,100ng/mL LPS,-0.068489268
146,20201207,Day 3,3,3,A. baumannii,100ng/mL LPS,0.004284053
15555,20210114,Day 3,1,3,A. baumannii,100ng/mL LPS,0.056481356
15555,20210118,Day 3,2,3,A. baumannii,100ng/mL LPS,-0.803261971
