ICMP,Test_Date,Incubation_time,BioRep,TechRep,Bacteria,Additives,AUC
11458,20210114,Day 3,1,1,S. aureus,100ng/mL LTA,31.66666667
11458,20210114,Day 3,1,2,S. aureus,100ng/mL LTA,18.66666667
11458,20210114,Day 3,1,3,S. aureus,100ng/mL LTA,13.66666667
11458,20210114,Day 3,1,4,S. aureus,100ng/mL LTA,9.333333333
11458,20210114,Day 3,1,1,S. aureus,Fungi alone,6
11458,20210114,Day 3,1,2,S. aureus,Fungi alone,13.66666667
11458,20210114,Day 3,1,3,S. aureus,Fungi alone,17
11458,20210114,Day 3,1,4,S. aureus,Fungi alone,14.33333333
11458,20210114,Day 3,1,1,S. aureus,Autoclaved bacteria,28.33333333
11458,20210114,Day 3,1,2,S. aureus,Autoclaved bacteria,17.66666667
11458,20210114,Day 3,1,3,S. aureus,Autoclaved bacteria,12
11458,20210114,Day 3,1,4,S. aureus,Autoclaved bacteria,12
11458,20210118,Day 3,2,1,A. baumannii,0.1ng/mL LPS,1630
11458,20210118,Day 3,2,2,A. baumannii,0.1ng/mL LPS,1131.666667
11458,20210118,Day 3,2,3,A. baumannii,0.1ng/mL LPS,1539.666667
11458,20210118,Day 3,2,4,A. baumannii,0.1ng/mL LPS,1272
11458,20210118,Day 3,2,1,A. baumannii,100ng/mL LPS,39
11458,20210118,Day 3,2,2,A. baumannii,100ng/mL LPS,461.3333333
11458,20210118,Day 3,2,3,A. baumannii,100ng/mL LPS,46.66666667
11458,20210118,Day 3,2,4,A. baumannii,100ng/mL LPS,356
11458,20210118,Day 3,2,1,A. baumannii,0.1ng/mL LTA,819.3333333
11458,20210118,Day 3,2,2,A. baumannii,0.1ng/mL LTA,605
11458,20210118,Day 3,2,3,A. baumannii,0.1ng/mL LTA,907
11458,20210118,Day 3,2,4,A. baumannii,0.1ng/mL LTA,1365
11458,20210118,Day 3,2,1,A. baumannii,100ng/mL LTA,1077.333333
11458,20210118,Day 3,2,2,A. baumannii,100ng/mL LTA,870.3333333
11458,20210118,Day 3,2,3,A. baumannii,100ng/mL LTA,986.3333333
11458,20210118,Day 3,2,4,A. baumannii,100ng/mL LTA,828
11458,20210118,Day 3,2,1,A. baumannii,Fungi alone,47.66666667
11458,20210118,Day 3,2,2,A. baumannii,Fungi alone,769
11458,20210118,Day 3,2,3,A. baumannii,Fungi alone,33
11458,20210118,Day 3,2,4,A. baumannii,Fungi alone,606.3333333
11458,20210118,Day 3,2,1,A. baumannii,Autoclaved bacteria,1493.333333
11458,20210118,Day 3,2,2,A. baumannii,Autoclaved bacteria,818
11458,20210118,Day 3,2,3,A. baumannii,Autoclaved bacteria,1289.666667
11458,20210118,Day 3,2,4,A. baumannii,Autoclaved bacteria,780.6666667
11458,20210118,Day 3,2,1,E. coli,0.1ng/mL LPS,977.3333333
11458,20210118,Day 3,2,2,E. coli,0.1ng/mL LPS,685
11458,20210118,Day 3,2,3,E. coli,0.1ng/mL LPS,939.3333333
11458,20210118,Day 3,2,4,E. coli,0.1ng/mL LPS,678.3333333
11458,20210118,Day 3,2,1,E. coli,100ng/mL LPS,87.66666667
11458,20210118,Day 3,2,2,E. coli,100ng/mL LPS,331.3333333
11458,20210118,Day 3,2,3,E. coli,100ng/mL LPS,68
11458,20210118,Day 3,2,4,E. coli,100ng/mL LPS,271.6666667
11458,20210118,Day 3,2,1,E. coli,0.1ng/mL LTA,515
11458,20210118,Day 3,2,2,E. coli,0.1ng/mL LTA,522
11458,20210118,Day 3,2,3,E. coli,0.1ng/mL LTA,488
11458,20210118,Day 3,2,4,E. coli,0.1ng/mL LTA,496.6666667
11458,20210118,Day 3,2,1,E. coli,100ng/mL LTA,736
11458,20210118,Day 3,2,2,E. coli,100ng/mL LTA,597.6666667
11458,20210118,Day 3,2,3,E. coli,100ng/mL LTA,674
11458,20210118,Day 3,2,4,E. coli,100ng/mL LTA,671
11458,20210118,Day 3,2,1,E. coli,Fungi alone,113
